Devices
10000
,,Imported Generic Analog #2 - Electric Potential,
Frame,Sub Frame,Trigger
,,V
1,0,0.000305176
1,1,-0.000610352
1,2,0
1,3,-0.000305176
1,4,0
1,5,-0.000305176
1,6,-0.000915527
1,7,-0.000305176
1,8,0
1,9,-0.000610352
1,10,-0.000915527
1,11,-0.000610352
1,12,-0.000610352
1,13,-0.000610352
1,14,0
1,15,-0.000305176
1,16,-0.000610352
1,17,-0.000610352
1,18,-0.000305176
1,19,-0.000305176
1,20,-0.000305176
1,21,-0.000610352
1,22,-0.000305176
1,23,-0.000610352
1,24,-0.000610352
1,25,-0.000610352
1,26,-0.000305176
1,27,-0.000305176
1,28,-0.000305176
1,29,-0.000305176
1,30,-0.000915527
1,31,-0.000610352
1,32,0
1,33,-0.0012207
1,34,-0.000305176
1,35,-0.000915527
1,36,-0.000305176
1,37,-0.000915527
1,38,-0.000305176
1,39,-0.000915527
1,40,-0.000305176
1,41,-0.000305176
1,42,-0.000915527
1,43,-0.000915527
1,44,-0.000305176
1,45,-0.000610352
1,46,-0.000915527
1,47,-0.000610352
1,48,-0.000610352
1,49,0
1,50,-0.000915527
1,51,0
1,52,-0.000305176
1,53,-0.000610352
1,54,-0.000915527
1,55,0
1,56,0.000305176
1,57,-0.000915527
1,58,-0.000305176
1,59,0
1,60,-0.000610352
1,61,-0.000610352
1,62,-0.000610352
1,63,-0.000305176
1,64,-0.000305176
1,65,-0.000610352
1,66,-0.000610352
1,67,0
1,68,-0.000915527
1,69,-0.000915527
1,70,-0.000610352
1,71,0
1,72,0
1,73,-0.000305176
1,74,-0.0012207
1,75,0
1,76,-0.000305176
1,77,-0.000305176
1,78,-0.000305176
1,79,-0.000610352
1,80,-0.000610352
1,81,-0.000305176
1,82,0
1,83,-0.000305176
1,84,-0.000610352
1,85,-0.000305176
1,86,-0.000305176
1,87,-0.000305176
1,88,-0.000610352
1,89,-0.000305176
1,90,-0.000610352
1,91,-0.000610352
1,92,-0.000915527
1,93,-0.000305176
1,94,-0.000305176
1,95,-0.000610352
1,96,-0.000305176
1,97,0
1,98,-0.000915527
1,99,0.000305176
2,0,-0.000915527
2,1,-0.000305176
2,2,-0.000610352
2,3,-0.000305176
2,4,-0.000610352
2,5,-0.000610352
2,6,-0.000305176
2,7,-0.000915527
2,8,-0.000305176
2,9,-0.000610352
2,10,-0.000610352
2,11,-0.000305176
2,12,-0.000305176
2,13,-0.000610352
2,14,-0.000915527
2,15,-0.000915527
2,16,-0.000915527
2,17,-0.000305176
2,18,-0.000915527
2,19,-0.000610352
2,20,-0.000915527
2,21,-0.000610352
2,22,-0.0012207
2,23,-0.000610352
2,24,-0.000610352
2,25,-0.000610352
2,26,-0.0012207
2,27,-0.000610352
2,28,-0.000610352
2,29,-0.000610352
2,30,-0.000610352
2,31,-0.000305176
2,32,-0.000610352
2,33,0
2,34,-0.000610352
2,35,-0.000610352
2,36,-0.000915527
2,37,-0.000610352
2,38,-0.000305176
2,39,0
2,40,-0.000305176
2,41,-0.000305176
2,42,-0.000610352
2,43,-0.000610352
2,44,-0.000610352
2,45,-0.000610352
2,46,-0.000610352
2,47,-0.000305176
2,48,-0.000915527
2,49,-0.000305176
2,50,0
2,51,-0.000610352
2,52,-0.000610352
2,53,-0.000610352
2,54,-0.000305176
2,55,-0.000915527
2,56,-0.000305176
2,57,-0.000915527
2,58,-0.000610352
2,59,-0.000915527
2,60,-0.0012207
2,61,-0.000610352
2,62,-0.000915527
2,63,0
